benchmark,raw_file,compute_capacity,sim_instructions,scheduler,intermediate_capacity,min_layer_distance,compile_mem_accesses,compile_prefetch_coverage,baseline_ipc,baseline_mem_phys_qubits,ipc,mem_phys_qubits,sim_miss_rate_pct,prefetch_ready_on_load_pct
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,16,175,58636,0.997,0.974,0,0.94,372836,,99.89157471777537
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,16,200,55108,0.997,0.974,0,0.948,372836,,99.92406461411018
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,24,200,40979,0.997,0.974,0,0.972,379876,,99.85311668043698
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,24,225,40974,0.997,0.974,0,0.97,379876,,99.88056959118052
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,24,250,58636,0.998,0.974,0,0.942,379876,,99.93627326026001
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,32,250,40896,0.997,0.974,0,0.977,386916,,99.88649262202043
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,32,275,58636,0.998,0.974,0,0.94,386916,,99.85991722381407
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,32,300,58636,0.998,0.974,0,0.941,386916,,99.92356687898089
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,eif_baseline,0,0,42877,,0.987,0,0.278,352336,,
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,4,25,53719,0.987,0.987,0,0.831,362276,,96.55027345393353
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,4,50,53719,0.951,0.987,0,0.816,362276,,98.6631793083406
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,4,75,53719,0.936,0.987,0,0.801,362276,,99.66767594712356
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,8,75,68371,0.998,0.987,0,0.935,365796,,99.90859723641056
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,8,100,37562,0.996,0.987,0,0.992,365796,,99.85500241662639
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,8,125,53719,0.997,0.987,0,0.952,365796,,99.91663192997082
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,16,150,56915,0.998,0.987,0,0.946,372836,,99.87691909049686
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,16,175,56915,0.997,0.987,0,0.946,372836,,99.87687123323181
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,16,200,56915,0.997,0.987,0,0.946,372836,,99.91571576763485
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,24,200,68371,0.998,0.987,0,0.934,379876,,99.90864635391478
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,24,225,68371,0.998,0.987,0,0.932,379876,,99.88712104923673
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,24,250,53719,0.997,0.987,0,0.949,379876,,99.84039969467767
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,32,250,37562,0.996,0.987,0,0.988,386916,,99.83617615881276
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,32,275,53719,0.997,0.987,0,0.948,386916,,99.85438912772153
grover_sat,sat_grover_schoning_n784_new.bin,12,1000000,singlepass_eif,32,300,53719,0.997,0.987,0,0.948,386916,,99.9029260851477
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,eif_baseline,0,0,44396,,0.992,0,0.284,352336,,
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,4,25,44396,0.994,0.992,0,0.945,362276,,98.98512685914261
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,4,50,43726,0.988,0.992,0,0.945,362276,,99.62762656263853
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,4,75,44396,0.979,0.992,0,0.94,362276,,99.88488444168954
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,8,75,44396,0.997,0.992,0,0.972,365796,,99.8167059439644
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,8,100,48266,0.997,0.992,0,0.958,365796,,99.93191257574726
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,8,125,44396,0.996,0.992,0,0.973,365796,,99.89520565889443
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,16,150,44396,0.997,0.992,0,0.971,372836,,99.78198308188715
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,16,175,48266,0.997,0.992,0,0.956,372836,,99.88431439265057
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,16,200,48266,0.997,0.992,0,0.956,372836,,99.8842671386752
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,24,200,44396,0.997,0.992,0,0.969,379876,,99.77332170880558
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,24,225,44396,0.997,0.992,0,0.968,379876,,99.77332170880558
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,24,250,48038,0.997,0.992,0,0.968,379876,,99.82477100756671
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,32,250,48038,0.997,0.992,0,0.966,386916,,99.84087835149973
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,32,275,48038,0.997,0.992,0,0.968,386916,,99.86466045696999
grover_sat,sat_grover_schoning_n784_new.bin,16,1000000,singlepass_eif,32,300,45030,0.997,0.992,0,0.955,386916,,99.86764827529159
