benchmark,raw_file,compute_capacity,sim_instructions,scheduler,intermediate_capacity,min_layer_distance,compile_mem_accesses,compile_prefetch_coverage,baseline_ipc,baseline_mem_phys_qubits,ipc,mem_phys_qubits,sim_miss_rate_pct,prefetch_ready_on_load_pct
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,8,100,137911,0.622,0.814,0,0.297,101544,,93.64689958548347
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,8,125,138137,0.543,0.814,0,0.258,101544,,98.96325139936724
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,16,150,138115,0.868,0.814,0,0.544,74216,,96.875
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,16,175,138319,0.835,0.814,0,0.522,74216,,98.74550841581038
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,16,200,137812,0.807,0.814,0,0.487,74216,,99.31304233499868
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,24,200,138097,0.972,0.814,0,0.753,81256,,99.5541110424669
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,24,225,138045,0.963,0.814,0,0.738,81256,,99.6096503117376
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,24,250,137945,0.952,0.814,0,0.718,81256,,99.71683848797251
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,32,250,138123,0.993,0.814,0,0.785,88296,,99.90844407240766
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,32,275,137938,0.992,0.814,0,0.779,88296,,99.91339264624833
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,32,300,137750,0.989,0.814,0,0.778,88296,,99.9497141647258
h60,e_h60_121_td_1000by40.bin,12,1000000,eif_baseline,0,0,126353,,0.845,0,0.144,88084,,
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,4,25,126188,0.771,0.845,0,0.192,98024,,33.919588486705244
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,4,50,126195,0.549,0.845,0,0.286,98024,,87.49537355258288
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,4,75,125708,0.418,0.845,0,0.239,98024,,97.68825661719444
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,8,75,126142,0.735,0.845,0,0.295,101544,,73.46370935686461
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,8,100,126451,0.63,0.845,0,0.313,101544,,93.71186595027775
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,8,125,126252,0.554,0.845,0,0.277,101544,,99.06292534813109
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,16,150,125435,0.882,0.845,0,0.608,74216,,96.8470696876752
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,16,175,126346,0.853,0.845,0,0.588,74216,,98.78849407783417
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,16,200,126103,0.825,0.845,0,0.556,74216,,99.39708060080389
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,24,200,126287,0.975,0.845,0,0.793,81256,,99.60285941223194
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,24,225,126536,0.968,0.845,0,0.78,81256,,99.7558751727992
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,24,250,126290,0.959,0.845,0,0.765,81256,,99.78454080258551
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,32,250,126179,0.993,0.845,0,0.819,88296,,99.94518967258041
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,32,275,126347,0.992,0.845,0,0.814,88296,,99.93092730098428
h60,e_h60_121_td_1000by40.bin,12,1000000,singlepass_eif,32,300,126068,0.99,0.845,0,0.824,88296,,99.9418976236128
h60,e_h60_121_td_1000by40.bin,16,1000000,eif_baseline,0,0,110219,,0.908,0,0.159,88084,,
